DOC_ID,Sample,Coder,DOI/WOS,Filename
AJC2,5,LW,http://dx.doi.org/10.1080/01292986.2020.1811739,10.1080&01292986.2020.1811739.pdf
EJDC1,5,LW,http://dx.doi.org/10.3109/13682829209012027,10.3109&13682829209012027.pdf
IJMC1,5,LW,http://dx.doi.org/10.1504/IJMC.2020.107103,10.1504&IJMC.2020.107103.pdf
IJMC2,5,LW,http://dx.doi.org/10.1504/IJMC.2013.055751,10.1504&IJMC.2013.055751.pdf
JQ1,5,LW,http://dx.doi.org/10.1177/107769907805500216,10.1177&107769907805500216.pdf
JQ2,5,LW,http://dx.doi.org/10.1177/107769908105800204,10.1177&107769908105800204.pdf
RLSI1,5,LW,http://dx.doi.org/10.1080/08351810701691206,10.1080&08351810701691206.pdf
RLSI2,5,LW,http://dx.doi.org/10.1207/S15327973RLSI3401_4,10.1207&S15327973RLSI3401_4.pdf
Conv1,5,LW,http://dx.doi.org/10.1177/1354856514560314,10.1177&1354856514560314.pdf
Conv2,5,LW,http://dx.doi.org/10.1177/1354856513501416,10.1177&1354856513501416.pdf
IJBC1,5,LW,http://dx.doi.org/10.1177/23294884211055840,10.1177&23294884211055840.pdf
IJBC2,5,LW,http://dx.doi.org/10.1177/2329488418803655,10.1177&2329488418803655.pdf
TT1,5,LW,http://dx.doi.org/10.1515/text-2014-0019,10.1515&text-2014-0019.pdf
TT2,5,LW,http://dx.doi.org/10.1515/text-2020-0137,10.1515&text-2020-0137.pdf
CJC1,5,LW,http://dx.doi.org/10.1080/17544750.2013.785666,10.1080&17544750.2013.785666.pdf
CJC2,5,LW,http://dx.doi.org/10.1080/03634520009379197,10.1080&03634520009379197.pdf
DC1,5,LW,http://dx.doi.org/10.1177/1750481309337208,10.1177&1750481309337208.pdf
CSMC1,5,LW,http://dx.doi.org/10.1080/15295036.2021.1934502,10.1080&15295036.2021.1934502.pdf
DS1,5,LW,http://dx.doi.org/10.1177/1461445616634556,10.1177&1461445616634556.pdf
JTB1,5,LW,http://dx.doi.org/10.1080/13183222.2008.11008969,10.1080&13183222.2008.11008969.pdf
JBTC1,5,LW,http://dx.doi.org/10.1177/1050651906293529,10.1177&1050651906293529.pdf
LC1,5,LW,http://dx.doi.org/10.1016/j.langcom.2018.05.001,10.1016&j.langcom.2018.05.001.pdf
DnS1,5,LW,http://dx.doi.org/10.1177/0957926515605960,10.1177&0957926515605960.pdf
DCM1,5,LW,http://dx.doi.org/10.1016/j.dcm.2015.11.003,10.1016&j.dcm.2015.11.003.pdf
FMS1,5,LW,http://dx.doi.org/10.1080/14680777.2020.1804430,10.1080&14680777.2020.1804430.pdf
HIJPP1,5,LW,http://dx.doi.org/10.1177/1081180X04265976,10.1177&1081180X04265976.pdf
JLSP1,5,LW,http://dx.doi.org/10.1177/0261927X14564467,10.1177&0261927X14564467.pdf
SS1,5,LW,http://dx.doi.org/10.1080/10350330.2014.896651,10.1080&10350330.2014.896651.pdf
AJS1,5,LW,http://dx.doi.org/10.1080/23743670.2021.1886961,10.1080&23743670.2021.1886961.pdf
CCC1,5,LW,http://dx.doi.org/10.1111/cccr.12077,10.1111&cccr.12077.pdf
CT1,5,LW,http://dx.doi.org/10.1111/j.1468-2885.2007.00296.x,10.1111&j.1468-2885.2007.00296.x.pdf
ESEMP1,5,LW,http://dx.doi.org/10.5209/rev_ESMP.2011.v17.n2.38123,10.5209&rev_ESMP.2011.v17.n2.38123.pdf
JAMS1,5,LW,http://dx.doi.org/10.1386/jams_00033_1,10.1386&jams_00033_1.pdf
TNM1,5,LW,http://dx.doi.org/10.1177/1527476408315502,10.1177&1527476408315502.pdf
VC1,5,LW,http://dx.doi.org/10.1177/1470357210389538,10.1177&1470357210389538.pdf
WJC1,5,LW,http://dx.doi.org/10.1080/10570319609374544,10.1080&10570319609374544.pdf